Volatility 3 Framework 2.28.0
  |         Offset | Proto |                LocalAddr | LocalPort |    ForeignAddr | ForeignPort |       State |  PID |        Owner |                        Created
* | 0xd98df48f6820 | TCPv4 |            192.168.2.169 |     50810 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df4b3ec40 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 2980 |  dasHost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df4b3ec40 | UDPv6 |                       :: |      3702 |              * |           0 |             | 2980 |  dasHost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df4b8fcc0 | TCPv4 |            192.168.2.169 |     50864 |    13.107.4.50 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df4c51ec0 | TCPv4 |                  0.0.0.0 |       135 |        0.0.0.0 |           0 |   LISTENING |  920 |  svchost.exe | 2018-06-08 00:12:25.000000 UTC
* | 0xd98df4ecc410 | TCPv4 |                  0.0.0.0 |     49665 |        0.0.0.0 |           0 |   LISTENING | 1260 |  svchost.exe | 2018-06-08 00:12:27.000000 UTC
* | 0xd98df4ff4750 | TCPv4 |            192.168.2.169 |     50684 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df5034b90 | TCPv4 |            192.168.2.169 |       139 |        0.0.0.0 |           0 |   LISTENING |    4 |       System | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df503c290 | TCPv4 |            192.168.2.169 |     50860 | 111.221.29.254 |         443 |      CLOSED | 2736 |  svchost.exe |                            N/A
* | 0xd98df507e450 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 3972 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df5127a70 | TCPv4 |            192.168.2.169 |     50654 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df5156010 | UDPv4 |                  0.0.0.0 |     56795 |              * |           0 |             | 3888 |  svchost.exe | 2018-06-08 00:12:44.000000 UTC
* | 0xd98df5156010 | UDPv6 |                       :: |     56795 |              * |           0 |             | 3888 |  svchost.exe | 2018-06-08 00:12:44.000000 UTC
* | 0xd98df515b350 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 3972 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df515b350 | UDPv6 |                       :: |      3702 |              * |           0 |             | 3972 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df5333260 | UDPv4 |            192.168.2.169 |      1900 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df53c4660 | TCPv4 |                  0.0.0.0 |     49667 |        0.0.0.0 |           0 |   LISTENING | 2364 |  spoolsv.exe | 2018-06-08 00:12:33.000000 UTC
* | 0xd98df53c4660 | TCPv6 |                       :: |     49667 |             :: |           0 |   LISTENING | 2364 |  spoolsv.exe | 2018-06-08 00:12:33.000000 UTC
* | 0xd98df5405cc0 | TCPv4 |            192.168.2.169 |     50799 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df541dca0 | UDPv6 |                      ::1 |     64750 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df5572610 | UDPv4 |                  0.0.0.0 |      5355 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:19:55.000000 UTC
* | 0xd98df5572610 | UDPv6 |                       :: |      5355 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:19:55.000000 UTC
* | 0xd98df5588100 | TCPv4 |            192.168.2.169 |     50817 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df55b2cc0 | TCPv4 |            192.168.2.169 |     50804 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df5851ba0 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:00:36.000000 UTC
* | 0xd98df5851ba0 | UDPv6 |                       :: |         0 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:00:36.000000 UTC
* | 0xd98df5856560 | TCPv4 |            192.168.2.169 |     50675 |  8.253.176.103 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df59ae970 | TCPv4 |                  0.0.0.0 |     49665 |        0.0.0.0 |           0 |   LISTENING | 1260 |  svchost.exe | 2018-06-08 00:12:27.000000 UTC
* | 0xd98df59ae970 | TCPv6 |                       :: |     49665 |             :: |           0 |   LISTENING | 1260 |  svchost.exe | 2018-06-08 00:12:27.000000 UTC
* | 0xd98df59f9350 | TCPv4 |                  0.0.0.0 |       135 |        0.0.0.0 |           0 |   LISTENING |  920 |  svchost.exe | 2018-06-08 00:12:25.000000 UTC
* | 0xd98df59f9350 | TCPv6 |                       :: |       135 |             :: |           0 |   LISTENING |  920 |  svchost.exe | 2018-06-08 00:12:25.000000 UTC
* | 0xd98df5c07ce0 | UDPv4 |                127.0.0.1 |      1900 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df5d4a500 | TCPv4 |            192.168.2.169 |     49923 |    52.230.7.59 |         443 | ESTABLISHED | 2720 |  svchost.exe |                            N/A
* | 0xd98df5d8a5b0 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             |  880 |      CCC.exe | 2018-06-21 06:38:50.000000 UTC
* | 0xd98df5da19d0 | TCPv4 |            192.168.2.169 |     50783 | 198.142.175.14 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df5eb8830 | TCPv4 |            192.168.2.169 |     50872 |   40.69.218.62 |         443 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df5eecd30 | UDPv4 |                  0.0.0.0 |     54391 |              * |           0 |             | 3972 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df6274400 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             |  880 |      CCC.exe | 2018-06-21 06:38:49.000000 UTC
* | 0xd98df6274400 | UDPv6 |                       :: |         0 |              * |           0 |             |  880 |      CCC.exe | 2018-06-21 06:38:49.000000 UTC
* | 0xd98df63a64f0 | TCPv4 |            192.168.2.169 |     50796 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df63ab010 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 3972 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df64134c0 | TCPv4 |            192.168.2.169 |     50805 | 198.142.175.46 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df6447730 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 3888 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df658eec0 | TCPv4 |                  0.0.0.0 |     49664 |        0.0.0.0 |           0 |   LISTENING |  568 |  wininit.exe | 2018-06-08 00:12:26.000000 UTC
* | 0xd98df658eec0 | TCPv6 |                       :: |     49664 |             :: |           0 |   LISTENING |  568 |  wininit.exe | 2018-06-08 00:12:26.000000 UTC
* | 0xd98df65ebd50 | TCPv4 |                  0.0.0.0 |     49664 |        0.0.0.0 |           0 |   LISTENING |  568 |  wininit.exe | 2018-06-08 00:12:26.000000 UTC
* | 0xd98df65ff8b0 | TCPv4 |            192.168.2.169 |     50339 |   67.27.59.254 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df67269d0 | TCPv4 |            192.168.2.169 |     50798 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df68f5cb0 | TCPv4 |                  0.0.0.0 |     49666 |        0.0.0.0 |           0 |   LISTENING | 1568 |  svchost.exe | 2018-06-08 00:12:28.000000 UTC
* | 0xd98df695aec0 | TCPv4 |                  0.0.0.0 |     49666 |        0.0.0.0 |           0 |   LISTENING | 1568 |  svchost.exe | 2018-06-08 00:12:28.000000 UTC
* | 0xd98df695aec0 | TCPv6 |                       :: |     49666 |             :: |           0 |   LISTENING | 1568 |  svchost.exe | 2018-06-08 00:12:28.000000 UTC
* | 0xd98df6a19cb0 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 3888 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df6a19cb0 | UDPv6 |                       :: |      3702 |              * |           0 |             | 3888 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df6a29c70 | TCPv4 |                  0.0.0.0 |     49667 |        0.0.0.0 |           0 |   LISTENING | 2364 |  spoolsv.exe | 2018-06-08 00:12:33.000000 UTC
* | 0xd98df6b1c500 | TCPv4 |            192.168.2.169 |     50660 |   67.27.59.254 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df6b687a0 | TCPv4 |                  0.0.0.0 |     49669 |        0.0.0.0 |           0 |   LISTENING |  716 | services.exe | 2018-06-08 00:12:37.000000 UTC
* | 0xd98df6b687a0 | TCPv6 |                       :: |     49669 |             :: |           0 |   LISTENING |  716 | services.exe | 2018-06-08 00:12:37.000000 UTC
* | 0xd98df6bcf5b0 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             |  880 |      CCC.exe | 2018-06-21 06:36:48.000000 UTC
* | 0xd98df6cfa920 | TCPv4 |                  0.0.0.0 |     49668 |        0.0.0.0 |           0 |   LISTENING |  744 |    lsass.exe | 2018-06-08 00:12:35.000000 UTC
* | 0xd98df6d98880 | TCPv4 |                  0.0.0.0 |     49668 |        0.0.0.0 |           0 |   LISTENING |  744 |    lsass.exe | 2018-06-08 00:12:35.000000 UTC
* | 0xd98df6d98880 | TCPv6 |                       :: |     49668 |             :: |           0 |   LISTENING |  744 |    lsass.exe | 2018-06-08 00:12:35.000000 UTC
* | 0xd98df6fba010 | TCPv4 |                  0.0.0.0 |     49669 |        0.0.0.0 |           0 |   LISTENING |  716 | services.exe | 2018-06-08 00:12:37.000000 UTC
* | 0xd98df6fdb2a0 | UDPv4 |                127.0.0.1 |     49664 |              * |           0 |             | 3288 |  svchost.exe | 2018-06-08 00:12:37.000000 UTC
* | 0xd98df7048570 | TCPv4 |                  0.0.0.0 |       445 |        0.0.0.0 |           0 |   LISTENING |    4 |       System | 2018-06-08 00:12:38.000000 UTC
* | 0xd98df7048570 | TCPv6 |                       :: |       445 |             :: |           0 |   LISTENING |    4 |       System | 2018-06-08 00:12:38.000000 UTC
* | 0xd98df70f2cc0 | TCPv4 |            192.168.2.169 |     50698 |   8.247.57.254 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df7145a10 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 2980 |  dasHost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df71e37f0 | TCPv4 |            192.168.2.169 |     50806 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df71e5a80 | UDPv4 |                  0.0.0.0 |      5050 |              * |           0 |             | 4504 |  svchost.exe | 2018-06-08 00:13:04.000000 UTC
* | 0xd98df72a6230 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             |  880 |      CCC.exe | 2018-06-21 06:36:48.000000 UTC
* | 0xd98df72a6230 | UDPv6 |                       :: |         0 |              * |           0 |             |  880 |      CCC.exe | 2018-06-21 06:36:48.000000 UTC
* | 0xd98df72ae8b0 | UDPv6 | fe80::9823:8c9:75b7:473b |      1900 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df7316a40 | TCPv4 |                  0.0.0.0 |      5357 |        0.0.0.0 |           0 |   LISTENING |    4 |       System | 2018-06-08 00:12:44.000000 UTC
* | 0xd98df7316a40 | TCPv6 |                       :: |      5357 |             :: |           0 |   LISTENING |    4 |       System | 2018-06-08 00:12:44.000000 UTC
* | 0xd98df731ac70 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 2980 |  dasHost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df73220e0 | UDPv4 |                  0.0.0.0 |      5353 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:00:36.000000 UTC
* | 0xd98df7323ba0 | UDPv4 |                  0.0.0.0 |     56794 |              * |           0 |             | 3888 |  svchost.exe | 2018-06-08 00:12:44.000000 UTC
* | 0xd98df738a480 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             | 4108 |  svchost.exe | 2018-06-08 00:12:45.000000 UTC
* | 0xd98df73bdd60 | UDPv4 |                  0.0.0.0 |     55126 |              * |           0 |             | 2980 |  dasHost.exe | 2018-06-21 06:00:31.000000 UTC
* | 0xd98df73bdd60 | UDPv6 |                       :: |     55126 |              * |           0 |             | 2980 |  dasHost.exe | 2018-06-21 06:00:31.000000 UTC
* | 0xd98df73f2180 | UDPv4 |                  0.0.0.0 |     54392 |              * |           0 |             | 3972 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df73f2180 | UDPv6 |                       :: |     54392 |              * |           0 |             | 3972 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df7406460 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             | 4108 |  svchost.exe | 2018-06-08 00:12:45.000000 UTC
* | 0xd98df7406460 | UDPv6 |                       :: |         0 |              * |           0 |             | 4108 |  svchost.exe | 2018-06-08 00:12:45.000000 UTC
* | 0xd98df7431cc0 | TCPv4 |            192.168.2.169 |     50827 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df7442ad0 | UDPv4 |            192.168.2.169 |       137 |              * |           0 |             |    4 |       System | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df74a4430 | UDPv4 |            192.168.2.169 |       138 |              * |           0 |             |    4 |       System | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df74d41a0 | TCPv4 |            192.168.2.169 |     50778 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df7506790 | UDPv6 |                      ::1 |      1900 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df7579900 | TCPv4 |            192.168.2.169 |     50824 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df75e7350 | TCPv4 |            192.168.2.169 |     50795 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df790b870 | TCPv4 |            192.168.2.169 |     50811 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df7918660 | TCPv4 |            192.168.2.169 |     50797 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df793d450 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 3888 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df7b35740 | TCPv4 |            192.168.2.169 |     50816 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df7bfe0d0 | TCPv4 |            192.168.2.169 |     50286 | 198.142.175.46 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df7c36460 | TCPv4 |            192.168.2.169 |     50822 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df7d38640 | TCPv4 |            192.168.2.169 |     50825 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df7edba20 | TCPv4 |            192.168.2.169 |     50685 | 198.142.175.14 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df7fc0010 | TCPv4 |            192.168.2.169 |     50427 |   67.27.63.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df81574a0 | TCPv4 |            192.168.2.169 |     50789 | 198.142.175.46 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df818c260 | TCPv4 |            192.168.2.169 |     50801 | 198.142.175.46 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df81ac4c0 | TCPv4 |            192.168.2.169 |     50709 | 198.142.175.46 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df8260820 | TCPv4 |            192.168.2.169 |     50310 |  13.107.21.200 |         443 |      CLOSED | 5368 | SearchUI.exe |                            N/A
* | 0xd98df8294b30 | TCPv4 |            192.168.2.169 |     50776 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df834d010 | TCPv4 |            192.168.2.169 |     50819 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df84fbaf0 | TCPv4 |            192.168.2.169 |     50774 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df87841d0 | UDPv4 |                  0.0.0.0 |     56112 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:47:03.000000 UTC
* | 0xd98df87841d0 | UDPv6 |                       :: |     56112 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:47:03.000000 UTC
* | 0xd98df8a54460 | TCPv4 |            192.168.2.169 |     50687 | 198.142.175.14 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df8b07010 | TCPv4 |            192.168.2.169 |     50309 |  13.107.21.200 |         443 |      CLOSED | 5368 | SearchUI.exe |                            N/A
* | 0xd98df8c21cc0 | TCPv4 |            192.168.2.169 |     50447 |  8.253.176.103 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df8ed6cc0 | TCPv4 |            192.168.2.169 |     50823 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df8f278f0 | TCPv4 |            192.168.2.169 |     50662 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df9063630 | TCPv4 |            192.168.2.169 |     50809 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df9091cc0 | TCPv4 |            192.168.2.169 |     50821 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df90bdba0 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             | 4444 |      MOM.exe | 2018-06-21 06:36:40.000000 UTC
* | 0xd98df911f540 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             |  880 |      CCC.exe | 2018-06-21 06:38:49.000000 UTC
* | 0xd98df91a9b30 | TCPv4 |            192.168.2.169 |     50259 |    13.107.4.50 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df933bcc0 | TCPv4 |            192.168.2.169 |     50808 |   67.27.57.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df93ac010 | TCPv4 |            192.168.2.169 |     50834 |    192.168.2.2 |         445 | ESTABLISHED |    4 |       System |                            N/A
* | 0xd98df951b160 | TCPv4 |            192.168.2.169 |     50790 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df9579cc0 | TCPv4 |            192.168.2.169 |      2869 |    192.168.2.1 |       40310 |      CLOSED |    4 |       System |                            N/A
* | 0xd98df95e3cc0 | TCPv4 |            192.168.2.169 |     50794 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df99a5350 | TCPv4 |            192.168.2.169 |     50791 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df99f12b0 | TCPv4 |            192.168.2.169 |     50818 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df9cb1cc0 | TCPv4 |            192.168.2.169 |     50836 |  104.74.31.166 |         443 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df9d32600 | TCPv4 |            192.168.2.169 |      2869 |    192.168.2.1 |       43784 |      CLOSED |    4 |       System |                            N/A
* | 0xd98dfa392350 | TCPv4 |            192.168.2.169 |     50787 |   8.247.56.254 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98dfa54b010 | TCPv4 |                  0.0.0.0 |      2869 |        0.0.0.0 |           0 |   LISTENING |    4 |       System | 2018-06-21 06:50:04.000000 UTC
* | 0xd98dfa54b010 | TCPv6 |                       :: |      2869 |             :: |           0 |   LISTENING |    4 |       System | 2018-06-21 06:50:04.000000 UTC
* | 0xd98dfa56b010 | TCPv4 |            192.168.2.169 |     50814 |   67.27.57.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98dfa71acc0 | TCPv4 |            192.168.2.169 |     50775 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98dfa7231a0 | TCPv4 |            192.168.2.169 |     50782 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98dfa7de010 | TCPv4 |            192.168.2.169 |     50813 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98dfae312e0 | TCPv4 |            192.168.2.169 |     50691 |   8.247.57.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98dfaf59cc0 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             | 4444 |      MOM.exe | 2018-06-21 06:36:40.000000 UTC
* | 0xd98dfaf59cc0 | UDPv6 |                       :: |         0 |              * |           0 |             | 4444 |      MOM.exe | 2018-06-21 06:36:40.000000 UTC
* | 0xef80000584d0 | UDPv4 |            192.168.2.169 |     64751 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xef80000b21e0 | UDPv6 | fe80::9823:8c9:75b7:473b |     64749 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xf8021f484290 | TCPv4 |            192.168.2.169 |     50860 | 111.221.29.254 |         443 |      CLOSED | 2736 |  svchost.exe |                            N/A
